Video Name,Category,Actual Count,Females,Males,Results,Found Females,Found Males
3 Products Apple Should've Made,Apple Products,1,0,1,3,3,0
8 Discontinued Apple Products You May Not Remember,Apple Products,17,8,9,4,2,2
11 Awesome New apple products coming soon (LEAKED!!) early 2020!,Apple Products,0,0,0,0,0,0
All Of Apple's Products,Apple Products,5,2,3,3,0,3
Apple products collection,Apple Products,1,0,1,1,1,0
Apple’s Product Evolution,Apple Products,2,1,1,2,0,2
Black Market Apple Products - CNBC,Apple Products,51,18,33,14,6,8
Buying 200 million dollars worth of Apple products!,Apple Products,0,0,0,0,0,0
Introducing Apple Pencil,Apple Products,0,0,0,0,0,0
New Apple products in 2016,Apple Products,24,6,18,7,1,6
Report- New Apple products coming,Apple Products,8,4,4,7,2,5
Steve Jobs - Courage,Apple Products,3,1,2,3,1,2
Steve Jobs about the spirit in Apple products,Apple Products,1,0,1,3,3,0
The Apple Conspiracy- Are Apple Products Made To Break-,Apple Products,11,3,8,3,2,1
The Apple Watch (Parody),Apple Products,2,1,1,4,1,3
Unreleased Apple Products,Apple Products,1,0,1,1,0,1
Why Do People Like Joey Graceffa and Apple Products-,Apple Products,12,4,8,21,15,6
Why I Don't Use Apple Products,Apple Products,2,0,2,2,0,2
Why It's Expensive to Use Apple Products,Apple Products,0,0,0,0,0,0
Why Kids Just Want Apple Products for Christmas,Apple Products,3,1,2,5,2,4
4 INCREDIBLE CALL OF DUTY TRICKSHOTS,Call of Duty,0,0,0,1,0,1
4 Mistakes in Call of Duty WWII- What They Got Wrong in the Reveal Trailer,Call of Duty,7,1,6,1,0,1
CALL OF DUTY GHOSTS RAP - Zarcort (Con Piter-G),Call of Duty,4,0,4,2,0,2
Call of Duty- Infinite Warfare – 5_2 Quartermaster Update Trailer - PS4,Call of Duty,0,0,0,0,0,0
Call of Duty Top 5 FAILS #9- Noob Tube Ricochet Death!! (Infinite Warfare Not Top 5),Call of Duty,0,0,0,2,1,0
Call of Duty- Top 10 Kills of the Month ? 5 Man Collat on MWR ? April 2017,Call of Duty,0,0,0,1,2,0
Call of Duty- World War 2 - Official Reveal Trailer,Call of Duty,4,0,4,2,0,2
Call Of Duty World War II - Official Trailer,Call of Duty,4,0,4,3,0,3
CALL OF DUTY WW2 Official Trailer (Call of Duty WWII Trailer),Call of Duty,4,0,4,2,0,2
Call of Duty WW2 Trailer- First Trailer for Call of Duty World War 2,Call of Duty,4,0,4,2,0,2
CALL OF DUTY WWII - GAMEPLAY TRAILER LIVE REVEAL (COD WW2),Call of Duty,4,0,4,2,0,2
Call of Duty- WWII - Trailer de Revelação - LEGENDADO PT-BR,Call of Duty,4,0,4,2,0,2
CALL OF DUTY WWII Bande Annonce VF,Call of Duty,4,0,4,2,0,2
Call Of Duty- WWII Confirmed for 2017 - GS News Update,Call of Duty,3,0,3,2,1,1
"CALL OF DUTY WWII Trailer (PS4, Xbox One, PC) 2017",Call of Duty,4,0,4,1,0,1
Call of Duty WWII vs Medal of Honor Frontline Omaha Beach Landing Graphics Comparison,Call of Duty,1,0,1,0,0,0
Call of Duty®- Infinite Warfare - Continuum Multiplayer Trailer,Call of Duty,1,1,0,1,0,1
Call of Duty®- WWII – ?????? ??????? [RU],Call of Duty,4,0,4,2,0,2
Official Call of Duty®- WWII Reveal Trailer,Call of Duty,4,0,4,2,0,2
The Vision Behind Call of Duty®- WWII [UK],Call of Duty,10,0,10,10,5,5
Coldplay - A sky full of stars (Traducido al español),Coldplay,0,0,0,0,0,0
Coldplay - Always In My Head (Ghost Stories Animation),Coldplay,0,0,0,4,3,1
Coldplay - Birds (Official Video),Coldplay,4,0,4,2,0,2
"Coldplay - Don't Panic (Live at a back yard barbeque, 23 July 2008)",Coldplay,22,9,13,20,3,17
Coldplay - Everglow (Live on The Graham Norton Show),Coldplay,4,0,4,3,0,3
Coldplay - Hurts Like Heaven,Coldplay,0,0,0,2,1,1
Coldplay - Hymn For The Weekend (Seeb Remix),Coldplay,0,0,0,0,0,0
Coldplay - In My Place,Coldplay,4,0,4,5,4,1
Coldplay - Ink (Official Fans' Cut),Coldplay,0,0,0,0,0,0
Coldplay - Lost [Piano Version],Coldplay,0,0,0,0,0,0
Coldplay - Miracles (Official Lyric Video),Coldplay,6,0,6,7,3,4
Coldplay - O (Fly On) (Ghost Stories Concert) HD,Coldplay,11,6,5,2,1,1
Coldplay - Princess Of China ft. Rihanna,Coldplay,10,2,8,10,3,7
Coldplay - 'Red Wedding' - Lyrics - Game of Thrones- The Musical - (GoT Cast),Coldplay,12,2,10,19,0,19
Coldplay - Violet Hill,Coldplay,4,0,4,11,1,10
COLDPLAY IN THE RAIN - Chicago Show Highlights • Best Moments - Soldier Field • #AHFOD 7_23_2016,Coldplay,2,0,2,3,2,1
COLDPLAY's song for the Philippines,Coldplay,1,0,1,2,0,2
Hurts Like Heaven (Madrid dressing room) - Coldplay,Coldplay,4,0,4,5,0,5
O 'Fly On' - Coldplay,Coldplay,0,0,0,0,0,0
The Chainsmokers & Coldplay - Something Just Like This - Channa Mereya (Vidya Vox Mashup Cover),Coldplay,3,1,2,5,1,4
[Koreos] K.A.R.D ?? - Rumor Dance Cover ????,dance,4,2,2,9,6,3
9year old girl stops and dances w_ street performer,dance,31,13,18,10,6,4
2017 best college dance performance in india - VIT College student dance - Dance TV,dance,2,1,1,3,3,0
best dance_2,dance,36,13,23,20,12,8
"Dance Moms- Group Dance- Boss Ladies (S6, E18) - Lifetime",dance,27,27,0,12,9,3
Haschak Sisters - I Wanna Dance,dance,4,4,0,9,5,4
HIGH SCHOOL DANCE BATTLE - GEEKS VS COOL KIDS! __ @ScottDW,dance,39,25,14,68,30,38
"IDOLS SING_DANCE TO PRISTIN WEEWOO(MONSTA X ,GFRIEND,SUJU...)",dance,10,5,5,5,4,1
Julia Michaels - Issues - Dance Video,dance,3,3,0,5,1,4
K.A.R.D - RUMOR [Dance cover],dance,4,2,2,11,3,8
Last Dance with Jennifer Lopez and Derek Hough,dance,5,3,2,10,5,5
Mackenzie Ziegler vs Maddie Ziegler Dance Battle,dance,7,7,0,11,0,11
Mackenzie Ziegler's 'Do It To It' Dance Routine - Dance Moms,dance,3,3,0,3,0,3
Odisha college girls dance,dance,30,25,5,29,7,22
ROLEX' - Ayo & Teo Dance Choreography - Matt Steffanina X Kenneth San Jose,dance,2,0,2,6,6,0
Shahid Kapoor's CUTE Dance With Baby Misha LEAKED Video,dance,1,0,1,1,0,1
Timber - Just Dance 2014 - Full Gameplay 5 Stars,dance,0,0,0,0,0,0
Weekly idol Winner ep 301 - 'Random Play Dance',dance,6,0,6,5,1,4
WORLD OF DANCE - Official Trailer 2- Inside Look,dance,35,15,20,37,16,21
WORTH IT - Fifth Harmony ft Kid Ink Dance - @MattSteffanina Choreography (Beg_Int Class),dance,54,31,23,14,3,11
"‘That’s Enough, Thank You’- Watch Donald Trump Abruptly End Interview With John Dickerson",Donald Trump,3,0,3,6,2,4
"A.M.E.NAZ.A A TRU.MP , ULTIMO MINUTO , HOY 2 MAYO 2017",Donald Trump,25,11,14,17,7,10
"ATACAN A DONALD TRUMP , ULTIMO MINUTO, HOY 8 DE MAYO 2017",Donald Trump,25,10,15,23,4,19
Boris interrupts Donald Trump's Speech to rant about Caillou and Rosie,Donald Trump,0,0,0,1,1,0
BREAKING- Donald Trump Fired FBI Director Comey,Donald Trump,4,1,3,3,1,2
Donald Trump Calls Canada A Disgrace - All In - MSNBC,Donald Trump,9,2,7,3,2,1
Donald Trump Has To Take The Reins Of His Presidency,Donald Trump,3,0,3,7,1,6
Donald Trump On Tape- I Grab Women 'By The Pu--y”,Donald Trump,9,1,8,10,1,9
